first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Tom,Aaron,,,155.0,,,5,3,0,,,,,,,,,,,,,,,,,,,,
Danny,Abbadi,The Assassin,180.34,155.0,,Orthodox,4,6,0,59.0,155.0,,,3.29,4.41,0.0,0.0,,,0.0,38.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,8.966666666666667
Nariman,Abbasov,Bayraktar,172.72,155.0,66.0,Orthodox,28,4,0,45.0,225.0,,2.0,3.0,5.67,0.0,0.0,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Darion,Abbey,,187.96,265.0,80.0,Orthodox,9,5,0,,,,,,,,,,,,,,,,,,,,
David,Abbott,Tank,182.88,265.0,,Switch,10,15,0,,,,,,,,,,,,,,,,,,,,
Hamdy,Abdelwahab,The Hammer,187.96,265.0,72.0,Southpaw,7,1,0,256.0,459.0,3.0,20.0,4.27,3.67,3.25,0.0,,,0.25,56.0,65.0,5.0,71.0,2.0,29.0,0.0,0.0,15.0
Farida,Abdueva,,160.02,115.0,66.0,Orthodox,8,0,0,,,,,,,,,,,,,,,,,,,,
Mansur,Abdul-Malik,,187.96,185.0,80.0,Orthodox,9,1,1,149.0,332.0,,12.0,3.28,4.49,1.65,0.33,,,0.33,45.0,42.0,7.0,78.0,0.0,0.0,2.0,22.0,7.583333333333333
Shamil,Abdurakhimov,Abrek,190.5,235.0,76.0,Orthodox,20,8,0,251.0,567.0,5.0,30.0,2.41,3.02,1.01,0.14,,,0.29,44.0,23.0,9.0,45.0,7.0,35.0,4.0,20.0,9.45
Hiroyuki,Abe,Abe Ani,167.64,145.0,,Orthodox,8,15,3,22.0,60.0,,,1.71,3.11,0.0,0.0,,,0.0,37.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,6.433333333333334
Daichi,Abe,,180.34,170.0,71.0,Orthodox,6,2,0,171.0,508.0,1.0,2.0,3.8,4.49,0.33,0.0,,,,34.0,50.0,4.0,67.0,2.0,33.0,0.0,0.0,15.0
Papy,Abedi,Makambo,180.34,185.0,,Southpaw,10,4,0,97.0,176.0,,14.0,2.8,3.15,3.47,1.3,,,0.0,55.0,57.0,5.0,56.0,2.0,22.0,2.0,22.0,8.65
Ricardo,Abreu,Demente,180.34,185.0,,Orthodox,5,1,0,80.0,252.0,,7.0,3.79,3.98,2.13,0.71,,,1.42,32.0,43.0,3.0,60.0,0.0,0.0,2.0,40.0,10.55
Klidson,Abreu,White Bear,182.88,205.0,74.0,Orthodox,15,4,0,96.0,236.0,,10.0,2.05,2.9,0.64,0.0,,,0.0,41.0,20.0,4.0,27.0,1.0,7.0,10.0,67.0,11.716666666666669
Cyborg,Abreu,,,,,,0,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel,Acacio,,172.72,180.0,,Orthodox,30,18,0,,,,,,,,,,,,,,,,,,,,
John,Adajar,The Outlaw,175.26,170.0,75.0,Orthodox,6,2,0,18.0,34.0,,,3.9,6.28,0.0,0.0,,0.0,,53.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,4.616666666666666
Scott,Adams,,182.88,225.0,,Southpaw,8,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Juan,Adams,The Kraken,195.58,265.0,80.0,Orthodox,5,3,0,234.0,420.0,2.0,3.0,7.09,4.06,0.91,0.0,,,0.0,56.0,67.0,5.0,100.0,0.0,0.0,0.0,0.0,6.6
Anthony,Adams,Sugafoot,185.42,185.0,76.0,Orthodox,8,2,0,95.0,227.0,,7.0,3.17,5.93,0.0,0.0,,0.0,,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Zarrukh,Adashev,The Lion,165.1,125.0,65.0,Southpaw,4,4,0,115.0,285.0,,5.0,3.65,3.04,0.0,0.48,,,0.0,40.0,0.0,2.0,50.0,2.0,50.0,0.0,0.0,7.883333333333334
Israel,Adesanya,The Last Stylebender,193.04,185.0,80.0,Switch,24,6,0,1313.0,2714.0,,11.0,4.03,3.22,0.05,0.14,,,0.6,48.0,9.0,16.0,67.0,8.0,33.0,0.0,0.0,17.15
Sam,Adkins,The Experience,190.5,225.0,,Orthodox,7,20,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed,Ado,,180.34,170.0,76.0,Switch,5,1,0,,,,,,,,,,,,,,,,,,,,
Nick,Agallar,,172.72,155.0,,Orthodox,24,6,0,5.0,43.0,,2.0,0.69,4.56,0.0,0.0,,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.233333333333333
Mariya,Agapova,Money Mashka,167.64,125.0,68.0,Southpaw,10,5,0,241.0,441.0,2.0,3.0,4.43,3.62,0.55,0.83,,,0.55,55.0,67.0,3.0,30.0,2.0,20.0,5.0,50.0,7.783333333333333
Kantharaj,Agasa,Kannadiga,,135.0,,,12,3,0,,,,,,,,,,,,,,,,,,,,
Marcelo,Aguiar,,177.8,170.0,,Orthodox,2,3,1,,,,,,,,,,,,,,,,,,,,
Fabio,Aguiar,,182.88,185.0,,,17,1,0,,,,,,,,,,,,,,,,,,,,
Edwin,Aguilar,Tigre,177.8,185.0,,,26,19,0,,,,,,,,,,,,,,,,,,,,
Jessica,Aguilar,Jag,160.02,115.0,63.0,Orthodox,20,8,0,314.0,620.0,4.0,16.0,4.93,7.19,0.94,0.24,,,0.0,51.0,25.0,3.0,15.0,10.0,50.0,7.0,35.0,12.733333333333333
Kevin,Aguilar,Angel of Death,170.18,155.0,73.0,Orthodox,17,5,0,370.0,924.0,,6.0,3.96,4.81,0.16,0.0,,,0.32,40.0,17.0,9.0,53.0,6.0,35.0,2.0,12.0,13.333333333333334
Jesus,Aguilar,,162.56,125.0,62.0,Orthodox,12,4,0,201.0,526.0,,27.0,2.54,2.29,1.52,1.14,,,0.19,38.0,30.0,1.0,8.0,4.0,33.0,7.0,58.0,9.9
Christian,Aguilera,The Beast,175.26,170.0,72.0,Switch,14,8,0,27.0,72.0,,1.0,2.54,4.04,0.0,0.0,,,0.0,38.0,0.0,11.0,73.0,4.0,27.0,0.0,0.0,3.55
Nick,Aguirre,Slick,175.26,135.0,74.0,Southpaw,7,2,0,19.0,56.0,,10.0,0.73,2.89,1.16,0.58,,,0.0,34.0,20.0,3.0,43.0,0.0,0.0,4.0,57.0,12.983333333333333
,Agulali,,175.26,125.0,67.0,Switch,13,2,0,,,,,,,,,,,,,,,,,,,,
Ahejiang,Ailinuer,,175.26,145.0,72.0,Southpaw,17,3,0,,,,,,,,,,,,,,,,,,,,
Mike,Aina,Iron,175.26,155.0,,Orthodox,14,6,1,43.0,127.0,,1.0,2.87,6.33,0.0,0.0,,,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85
Ashiek,Ajim,Peak Physique,172.72,135.0,71.0,Switch,6,2,0,4.0,10.0,,,5.0,11.25,0.0,0.0,,0.0,,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Hitomi,Akano,Girlfight Monster,162.56,135.0,,Southpaw,18,10,0,18.0,40.0,,3.0,0.59,2.58,0.0,0.49,,,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85
Omari,Akhmedov,Wolverine,182.88,185.0,73.0,Orthodox,21,6,1,535.0,1556.0,19.0,68.0,2.97,2.84,2.58,0.25,,,0.17,34.0,46.0,7.0,33.0,8.0,38.0,6.0,29.0,12.016666666666667
Yoshihiro,Akiyama,,177.8,170.0,75.0,Orthodox,14,6,0,466.0,1122.0,12.0,34.0,3.1,3.62,2.29,1.0,,,0.4,42.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333
Rostem,Akman,,177.8,170.0,72.0,Switch,6,2,0,,,,,,,,,,,,,,,,,,,,
Razak,Al-Hassan,,187.96,205.0,,Orthodox,13,5,0,75.0,191.0,,7.0,3.27,3.14,0.65,0.0,,,0.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633333333333334
